LGA_CODE_2016,Tot_P_M,Tot_P_F,Tot_P_P,Age_0_4_yr_M,Age_0_4_yr_F,Age_0_4_yr_P,Age_5_14_yr_M,Age_5_14_yr_F,Age_5_14_yr_P,Age_15_19_yr_M,Age_15_19_yr_F,Age_15_19_yr_P,Age_20_24_yr_M,Age_20_24_yr_F,Age_20_24_yr_P,Age_25_34_yr_M,Age_25_34_yr_F,Age_25_34_yr_P,Age_35_44_yr_M,Age_35_44_yr_F,Age_35_44_yr_P,Age_45_54_yr_M,Age_45_54_yr_F,Age_45_54_yr_P,Age_55_64_yr_M,Age_55_64_yr_F,Age_55_64_yr_P,Age_65_74_yr_M,Age_65_74_yr_F,Age_65_74_yr_P,Age_75_84_yr_M,Age_75_84_yr_F,Age_75_84_yr_P,Age_85ov_M,Age_85ov_F,Age_85ov_P,Counted_Census_Night_home_M,Counted_Census_Night_home_F,Counted_Census_Night_home_P,Count_Census_Nt_Ewhere_Aust_M,Count_Census_Nt_Ewhere_Aust_F,Count_Census_Nt_Ewhere_Aust_P,Indigenous_psns_Aboriginal_M,Indigenous_psns_Aboriginal_F,Indigenous_psns_Aboriginal_P,Indig_psns_Torres_Strait_Is_M,Indig_psns_Torres_Strait_Is_F,Indig_psns_Torres_Strait_Is_P,Indig_Bth_Abor_Torres_St_Is_M,Indig_Bth_Abor_Torres_St_Is_F,Indig_Bth_Abor_Torres_St_Is_P,Indigenous_P_Tot_M,Indigenous_P_Tot_F,Indigenous_P_Tot_P,Birthplace_Australia_M,Birthplace_Australia_F,Birthplace_Australia_P,Birthplace_Elsewhere_M,Birthplace_Elsewhere_F,Birthplace_Elsewhere_P,Lang_spoken_home_Eng_only_M,Lang_spoken_home_Eng_only_F,Lang_spoken_home_Eng_only_P,Lang_spoken_home_Oth_Lang_M,Lang_spoken_home_Oth_Lang_F,Lang_spoken_home_Oth_Lang_P,Australian_citizen_M,Australian_citizen_F,Australian_citizen_P,Age_psns_att_educ_inst_0_4_M,Age_psns_att_educ_inst_0_4_F,Age_psns_att_educ_inst_0_4_P,Age_psns_att_educ_inst_5_14_M,Age_psns_att_educ_inst_5_14_F,Age_psns_att_educ_inst_5_14_P,Age_psns_att_edu_inst_15_19_M,Age_psns_att_edu_inst_15_19_F,Age_psns_att_edu_inst_15_19_P,Age_psns_att_edu_inst_20_24_M,Age_psns_att_edu_inst_20_24_F,Age_psns_att_edu_inst_20_24_P,Age_psns_att_edu_inst_25_ov_M,Age_psns_att_edu_inst_25_ov_F,Age_psns_att_edu_inst_25_ov_P,High_yr_schl_comp_Yr_12_eq_M,High_yr_schl_comp_Yr_12_eq_F,High_yr_schl_comp_Yr_12_eq_P,High_yr_schl_comp_Yr_11_eq_M,High_yr_schl_comp_Yr_11_eq_F,High_yr_schl_comp_Yr_11_eq_P,High_yr_schl_comp_Yr_10_eq_M,High_yr_schl_comp_Yr_10_eq_F,High_yr_schl_comp_Yr_10_eq_P,High_yr_schl_comp_Yr_9_eq_M,High_yr_schl_comp_Yr_9_eq_F,High_yr_schl_comp_Yr_9_eq_P,High_yr_schl_comp_Yr_8_belw_M,High_yr_schl_comp_Yr_8_belw_F,High_yr_schl_comp_Yr_8_belw_P,High_yr_schl_comp_D_n_g_sch_M,High_yr_schl_comp_D_n_g_sch_F,High_yr_schl_comp_D_n_g_sch_P,Count_psns_occ_priv_dwgs_M,Count_psns_occ_priv_dwgs_F,Count_psns_occ_priv_dwgs_P,Count_Persons_other_dwgs_M,Count_Persons_other_dwgs_F,Count_Persons_other_dwgs_P
LGA22980,2848,2872,5721,139,120,260,310,296,610,164,159,319,130,112,247,246,239,487,274,256,525,372,413,791,488,469,949,399,363,766,226,248,482,103,190,290,2658,2702,5355,190,174,366,29,45,78,0,0,0,0,3,4,35,43,82,2414,2366,4775,212,255,472,2516,2522,5035,162,143,310,2574,2566,5138,17,28,43,274,263,543,122,118,244,15,33,49,23,69,91,591,802,1396,432,407,842,534,455,991,305,238,537,293,266,564,32,21,47,2555,2547,5104,210,249,462
LGA23110,43631,45146,88778,3137,2923,6062,5200,5091,10291,2425,2237,4656,2732,2439,5173,6509,6583,13093,6604,6828,13433,6127,6512,12638,5022,5284,10308,3248,3599,6854,1893,2432,4320,733,1216,1952,41908,43610,85521,1720,1543,3261,224,230,452,11,11,22,13,3,16,239,246,488,27753,28426,56174,13165,13931,27099,28894,29339,58235,12355,13407,25766,35702,37182,72886,599,569,1165,4756,4664,9424,1919,1862,3780,1121,1069,2188,1267,2048,3316,19506,21311,40822,4106,3597,7702,4672,4090,8767,1838,1803,3644,2122,2852,4977,421,621,1040,40719,42166,82884,2336,2522,4858
LGA23190,9576,10067,19642,663,554,1218,1305,1204,2510,606,573,1182,541,563,1105,1122,1169,2291,1021,1170,2194,1242,1268,2512,1299,1376,2676,967,1059,2028,588,727,1316,215,402,613,8866,9419,18287,704,650,1355,122,146,270,9,8,17,3,3,3,137,159,297,8444,8769,17213,536,656,1188,8700,9129,17827,345,400,746,8823,9269,18093,103,93,196,1201,1115,2316,414,409,823,53,121,177,147,242,392,2593,3301,5894,1586,1585,3165,1499,1402,2904,686,696,1383,587,571,1157,17,24,38,8656,9128,17785,715,685,1399
LGA23270,98273,99102,197376,8067,7475,15542,14541,13824,28371,7069,6978,14047,7512,7023,14538,15428,15653,31082,13566,13755,27319,12872,13470,26340,9702,10042,19741,6046,6528,12573,2746,3178,5924,727,1168,1889,95246,96326,191570,3028,2782,5806,651,682,1326,50,48,96,12,23,33,710,745,1461,56444,57397,113841,35306,35227,70535,48583,49014,97600,43962,44591,88555,78992,80523,159517,1259,1225,2482,12881,12255,25131,5303,5656,10953,2691,2712,5400,2842,4229,7077,36961,39774,76736,9113,8807,17923,11548,10148,21701,5290,4761,10044,5553,6375,11933,1472,2267,3741,92584,93496,186083,5538,5382,10921
LGA23350,7859,8097,15952,394,389,780,1038,1034,2072,451,487,939,325,268,589,626,626,1250,914,1018,1928,1192,1274,2462,1297,1343,2633,1064,977,2039,441,461,902,131,224,353,7300,7540,14838,563,555,1118,85,103,186,12,3,16,0,0,0,96,108,204,6638,6817,13457,653,713,1362,7049,7423,14477,150,205,361,7018,7413,14435,92,100,191,954,955,1908,335,363,702,61,90,152,102,280,383,2232,3031,5271,1005,999,2011,1524,1255,2779,522,426,954,375,316,689,14,20,33,6886,7282,14167,719,567,1286
LGA23430,73637,77753,151389,4598,4510,9110,9114,8575,17684,4154,4020,8174,4741,4068,8811,9687,10110,19800,10948,11527,22479,10426,11173,21604,8469,9142,17615,6238,7316,13553,3723,4706,8428,1542,2600,4139,70559,74823,145375,3078,2933,6008,257,266,523,24,16,40,11,8,16,287,292,575,46968,48816,95781,22568,24677,47248,51052,53359,104407,18861,20489,39352,61352,64890,126243,1043,1038,2075,8538,8038,16574,3424,3471,6896,2123,2009,4129,2043,3046,5085,34660,38213,72874,7260,6837,14098,7580,7397,14970,3026,3060,6083,2770,3791,6566,560,756,1322,68636,72448,141078,3743,4192,7934
LGA23670,75317,78793,154110,4605,4410,9014,9374,8672,18049,5083,4831,9911,5223,4974,10200,10020,10316,20332,10102,10647,20753,10538,11536,22075,9564,10329,19896,6483,7184,13662,3213,3898,7112,1102,2008,3105,72536,75999,148538,2779,2797,5573,358,350,710,20,15,35,3,8,8,380,372,754,50050,50867,100918,22027,24486,46505,54043,55447,109490,18421,20401,38825,64651,66863,131517,916,904,1813,8791,8230,17022,4202,4104,8311,2154,2138,4292,1836,2951,4790,32878,37016,69888,8653,8445,17100,9767,8972,18744,3911,3826,7738,2406,3057,5460,392,516,908,71361,74294,145655,2980,3657,6638
LGA23810,35788,37469,73257,2266,2092,4362,4547,4352,8897,2279,2131,4409,2360,2428,4789,4340,4718,9057,4032,4307,8337,4728,4989,9718,4956,5139,10102,3738,3870,7609,1887,2340,4227,654,1106,1761,33536,35353,68890,2253,2111,4367,533,572,1102,17,27,45,22,13,37,575,614,1184,28188,29210,57394,4321,4786,9111,30643,31948,62594,2283,2559,4835,31353,32820,64172,311,308,623,4074,3929,7998,1551,1536,3088,454,696,1148,618,1187,1805,9442,11618,21063,5276,5033,10314,6357,5762,12115,2531,2701,5229,2055,2306,4362,148,167,315,32036,33533,65570,2976,3296,6271
LGA23940,3848,3668,7516,160,178,335,431,423,857,198,212,413,120,110,230,252,260,518,370,346,717,520,554,1078,737,619,1356,632,508,1139,307,309,621,110,145,256,3607,3410,7018,237,258,494,48,55,102,7,3,5,4,3,7,57,65,119,3046,2930,5973,311,303,616,3309,3170,6482,116,113,223,3308,3169,6477,33,30,64,359,374,731,129,154,282,14,20,31,19,70,88,760,963,1724,533,513,1047,750,539,1289,370,305,672,353,269,625,9,7,18,3361,3162,6521,435,400,833
LGA24130,22685,23415,46100,1477,1425,2902,3348,3191,6538,1509,1408,2919,1116,1000,2114,1891,2048,3942,2952,3325,6277,3459,3727,7184,3109,3241,6356,2516,2533,5046,1008,1003,2012,296,513,811,21437,22278,43708,1250,1141,2396,138,134,275,13,8,17,0,4,5,153,146,297,18096,18694,36794,2879,2850,5735,20241,20781,41018,1000,1068,2061,20286,20908,41194,332,297,626,3096,2932,6030,1153,1120,2277,318,390,707,339,758,1098,8242,10082,18328,2867,2711,5571,3104,2581,5689,1281,1044,2326,800,717,1516,46,42,89,20623,21270,41890,1588,1659,3249
LGA24210,56306,59953,116255,2882,2660,5538,6834,6355,13190,3919,3620,7542,3800,3426,7222,6388,6496,12885,6615,7431,14044,7899,8785,16681,6827,7622,14448,5601,6690,12292,4114,4623,8740,1423,2249,3668,54211,57777,111986,2093,2177,4269,88,92,182,8,9,25,3,0,8,103,109,213,32011,32760,64768,21883,24500,46376,30858,31473,62330,23317,26087,49408,46442,48861,95303,688,657,1351,6446,5986,12427,3485,3270,6755,2154,1985,4133,1642,2319,3963,30079,31887,61959,4554,4705,9253,4560,5001,9562,2111,2308,4419,2344,3267,5608,464,710,1169,53204,56211,109418,2106,2885,4988
LGA24250,4272,4314,8584,220,209,433,548,558,1106,266,237,499,160,142,299,319,342,662,442,493,937,572,582,1156,711,718,1428,680,628,1311,267,281,551,81,123,207,3784,3914,7699,488,399,888,26,36,60,0,3,3,0,0,0,28,37,63,3383,3417,6802,463,487,948,3768,3822,7592,166,175,336,3777,3809,7588,43,54,98,482,509,989,196,181,375,30,43,67,45,110,158,1212,1605,2809,586,573,1156,728,543,1267,350,245,596,242,210,449,7,8,10,3552,3624,7174,802,742,1548
LGA24330,41405,40883,82288,2945,2737,5675,3803,3717,7518,1847,1784,3635,3860,3395,7258,9704,9302,19006,7154,6901,14058,4908,4992,9900,3613,3632,7247,1939,2084,4024,1109,1477,2589,522,854,1379,39895,39368,79263,1511,1520,3029,214,179,399,12,13,30,0,0,0,229,199,429,21597,21540,43130,16706,16282,32989,21164,20879,42041,17238,17207,34445,30205,30732,60934,524,458,980,3418,3360,6778,1501,1493,2991,2060,1803,3863,2644,3009,5660,22895,22805,45698,2540,2040,4584,2771,2402,5174,1165,1183,2351,1609,2213,3819,581,809,1385,38087,37652,75740,3149,3045,6196
LGA24410,53398,56979,110376,3802,3536,7334,6877,6396,13269,3461,3214,6671,3372,3253,6629,7339,7941,15284,7665,7947,15617,7239,7916,15158,6048,6665,12710,4344,5300,9647,2344,3063,5414,900,1747,2647,51153,54842,105992,2242,2136,4382,259,270,534,11,17,25,3,8,10,277,291,566,38826,40832,79652,12147,13457,25600,42250,44768,87020,8950,9778,18727,45808,48797,94602,759,762,1518,6433,6014,12447,2822,2705,5526,1369,1355,2724,1483,2336,3821,22988,26693,49677,6290,6030,12313,6451,6213,12667,2474,2523,4996,1815,2253,4065,339,408,747,50086,53164,103256,2340,3013,5359
