LGA_CODE_2016,Tot_P_M,Tot_P_F,Tot_P_P,Age_0_4_yr_M,Age_0_4_yr_F,Age_0_4_yr_P,Age_5_14_yr_M,Age_5_14_yr_F,Age_5_14_yr_P,Age_15_19_yr_M,Age_15_19_yr_F,Age_15_19_yr_P,Age_20_24_yr_M,Age_20_24_yr_F,Age_20_24_yr_P,Age_25_34_yr_M,Age_25_34_yr_F,Age_25_34_yr_P,Age_35_44_yr_M,Age_35_44_yr_F,Age_35_44_yr_P,Age_45_54_yr_M,Age_45_54_yr_F,Age_45_54_yr_P,Age_55_64_yr_M,Age_55_64_yr_F,Age_55_64_yr_P,Age_65_74_yr_M,Age_65_74_yr_F,Age_65_74_yr_P,Age_75_84_yr_M,Age_75_84_yr_F,Age_75_84_yr_P,Age_85ov_M,Age_85ov_F,Age_85ov_P,Counted_Census_Night_home_M,Counted_Census_Night_home_F,Counted_Census_Night_home_P,Count_Census_Nt_Ewhere_Aust_M,Count_Census_Nt_Ewhere_Aust_F,Count_Census_Nt_Ewhere_Aust_P,Indigenous_psns_Aboriginal_M,Indigenous_psns_Aboriginal_F,Indigenous_psns_Aboriginal_P,Indig_psns_Torres_Strait_Is_M,Indig_psns_Torres_Strait_Is_F,Indig_psns_Torres_Strait_Is_P,Indig_Bth_Abor_Torres_St_Is_M,Indig_Bth_Abor_Torres_St_Is_F,Indig_Bth_Abor_Torres_St_Is_P,Indigenous_P_Tot_M,Indigenous_P_Tot_F,Indigenous_P_Tot_P,Birthplace_Australia_M,Birthplace_Australia_F,Birthplace_Australia_P,Birthplace_Elsewhere_M,Birthplace_Elsewhere_F,Birthplace_Elsewhere_P,Lang_spoken_home_Eng_only_M,Lang_spoken_home_Eng_only_F,Lang_spoken_home_Eng_only_P,Lang_spoken_home_Oth_Lang_M,Lang_spoken_home_Oth_Lang_F,Lang_spoken_home_Oth_Lang_P,Australian_citizen_M,Australian_citizen_F,Australian_citizen_P,Age_psns_att_educ_inst_0_4_M,Age_psns_att_educ_inst_0_4_F,Age_psns_att_educ_inst_0_4_P,Age_psns_att_educ_inst_5_14_M,Age_psns_att_educ_inst_5_14_F,Age_psns_att_educ_inst_5_14_P,Age_psns_att_edu_inst_15_19_M,Age_psns_att_edu_inst_15_19_F,Age_psns_att_edu_inst_15_19_P,Age_psns_att_edu_inst_20_24_M,Age_psns_att_edu_inst_20_24_F,Age_psns_att_edu_inst_20_24_P,Age_psns_att_edu_inst_25_ov_M,Age_psns_att_edu_inst_25_ov_F,Age_psns_att_edu_inst_25_ov_P,High_yr_schl_comp_Yr_12_eq_M,High_yr_schl_comp_Yr_12_eq_F,High_yr_schl_comp_Yr_12_eq_P,High_yr_schl_comp_Yr_11_eq_M,High_yr_schl_comp_Yr_11_eq_F,High_yr_schl_comp_Yr_11_eq_P,High_yr_schl_comp_Yr_10_eq_M,High_yr_schl_comp_Yr_10_eq_F,High_yr_schl_comp_Yr_10_eq_P,High_yr_schl_comp_Yr_9_eq_M,High_yr_schl_comp_Yr_9_eq_F,High_yr_schl_comp_Yr_9_eq_P,High_yr_schl_comp_Yr_8_belw_M,High_yr_schl_comp_Yr_8_belw_F,High_yr_schl_comp_Yr_8_belw_P,High_yr_schl_comp_D_n_g_sch_M,High_yr_schl_comp_D_n_g_sch_F,High_yr_schl_comp_D_n_g_sch_P,Count_psns_occ_priv_dwgs_M,Count_psns_occ_priv_dwgs_F,Count_psns_occ_priv_dwgs_P,Count_Persons_other_dwgs_M,Count_Persons_other_dwgs_F,Count_Persons_other_dwgs_P
LGA24600,66137,69823,135959,2174,2213,4386,2219,2117,4342,4534,6060,10591,13530,16228,29756,22234,22187,44425,8555,7484,16035,4840,4944,9784,3832,3967,7798,2657,2623,5288,1091,1206,2299,459,795,1255,63501,67065,130564,2643,2758,5394,243,177,421,5,14,25,13,18,25,261,207,470,22715,21721,44444,35538,40259,75797,28079,26927,55010,30122,35323,65445,30720,30676,61391,323,321,652,1851,1805,3656,3821,5241,9068,9406,11494,20899,6358,7429,13791,47117,50857,97978,2817,2656,5474,2014,1932,3944,842,866,1707,686,941,1620,310,481,794,54831,58500,113335,21868,22049,43920
LGA24650,66890,68549,135443,5817,5657,11473,11072,10795,21867,4574,4313,8883,4334,4287,8616,9980,10970,20955,11286,11564,22853,8331,8557,16888,6018,6473,12486,3834,3838,7681,1332,1509,2847,310,578,887,64923,66754,131679,1960,1803,3760,600,630,1228,23,16,35,4,13,20,630,661,1286,42676,43350,86029,19878,20736,40613,41164,41820,82985,21121,22465,43583,55628,56932,112559,1047,1072,2119,9972,9734,19709,3445,3438,6885,1249,1438,2689,1418,2499,3914,24048,27888,51932,6595,5989,12589,8450,7410,15858,3488,3095,6583,2490,2839,5334,482,663,1145,62331,64287,126619,4099,3847,7943
LGA24780,26481,27398,53878,1698,1667,3363,3536,3333,6867,1828,1690,3518,1560,1590,3153,3213,3327,6535,2987,3184,6168,3447,3631,7079,3548,3559,7111,2751,2738,5493,1382,1781,3169,531,889,1419,24791,25939,50736,1685,1454,3143,919,1048,1963,31,34,58,23,18,44,977,1093,2065,20920,21820,42733,2900,2913,5810,21652,22633,44285,2547,2576,5125,22798,23810,46606,364,319,686,3133,2967,6103,1191,1200,2392,251,392,643,418,816,1241,6453,8171,14623,3238,3295,6529,4803,4309,9109,2122,1975,4098,1814,1834,3647,251,223,470,23604,24552,48152,2831,2713,5542
LGA24850,20570,20350,40918,1509,1347,2858,2879,2740,5614,1523,1358,2880,1330,1158,2487,2599,2635,5230,2481,2704,5178,2870,2916,5789,2594,2462,5056,1784,1821,3608,760,866,1633,237,342,581,19613,19458,39073,958,888,1847,312,304,620,13,7,19,7,5,10,329,324,650,16324,16026,32354,2373,2342,4718,17450,17237,34690,1499,1448,2949,18010,17670,35683,272,247,511,2584,2417,5000,1059,999,2064,322,292,615,329,697,1029,5598,6985,12580,2668,2426,5096,3525,2864,6391,1659,1267,2930,931,902,1835,63,46,104,18385,18367,36750,2110,1679,3790
LGA24900,14514,14598,29112,834,750,1585,1822,1727,3548,902,808,1711,730,656,1378,1309,1393,2699,1432,1486,2919,1841,1922,3764,2123,2107,4227,1962,2000,3960,1175,1203,2377,387,547,935,13406,13515,26921,1101,1090,2190,239,227,466,9,9,19,5,9,11,249,250,500,11841,11909,23747,1334,1340,2673,12705,12850,25558,670,665,1330,12783,12828,25613,161,135,300,1612,1537,3149,614,575,1184,108,173,280,147,386,540,2990,4232,7222,1996,1937,3942,2867,2531,5395,1392,1068,2464,1113,895,2006,57,51,109,12795,12879,25675,1252,1278,2530
LGA24970,89722,92890,182618,4831,4454,9283,10061,9548,19610,6330,6071,12399,9337,8513,17853,13923,13211,27136,11414,12085,23495,11126,11957,23081,8714,9650,18367,6959,8221,15185,5046,6063,11113,1977,3113,5088,86625,89863,176485,3104,3026,6129,184,190,367,10,11,21,11,10,19,202,208,414,42018,42049,84068,43298,46291,89590,41500,41442,82943,44184,47365,91552,64311,66105,130415,1124,1092,2211,9429,8917,18348,5651,5506,11152,6470,6067,12538,4243,4909,9152,51419,52938,104354,5977,5936,11913,6232,6538,12767,2867,3010,5876,3203,4479,7683,707,1080,1788,83284,85844,169127,6056,6653,12709
LGA25060,56394,60280,116671,3367,3249,6617,6664,6276,12944,3222,3125,6344,4010,3974,7987,9008,9673,18685,8040,8624,16665,7772,8141,15917,6053,6729,12788,4363,5021,9385,2753,3634,6384,1140,1826,2967,54094,58055,112146,2300,2225,4525,194,193,389,9,14,24,8,7,17,216,211,430,37544,39354,76902,15158,17107,32265,36940,38277,75216,16167,18546,34714,47351,50529,97880,669,629,1303,6133,5832,11963,2727,2720,5451,1968,1988,3951,1993,2821,4811,28192,31133,59324,4815,4456,9266,4624,4569,9187,2015,2028,4042,2605,3660,6267,520,869,1384,52355,55954,108316,3260,3574,6837
LGA25150,15744,16073,31818,1059,965,2023,2255,2166,4417,1073,1014,2082,897,811,1711,1686,1801,3488,2033,2205,4238,2322,2431,4754,2041,2076,4118,1611,1611,3226,590,674,1263,178,310,491,15012,15412,30423,739,656,1399,177,175,347,7,3,10,7,3,8,187,185,368,12716,12923,25635,1911,2009,3921,13931,14228,28161,838,856,1695,14040,14280,28317,205,183,387,2057,1987,4048,778,777,1555,227,262,492,242,573,818,4546,5910,10456,2125,2090,4216,2773,2198,4971,1170,945,2122,714,635,1347,43,29,71,14568,14910,29479,915,985,1896
LGA25250,79507,83051,162558,5287,4981,10264,8106,7730,15833,3678,3431,7115,6278,6598,12878,17758,17661,35425,12843,12823,25663,9481,9730,19207,6550,7294,13853,4362,5192,9556,3510,4948,8461,1661,2653,4311,76494,80076,156575,3018,2974,5987,339,400,734,28,21,47,21,12,30,383,427,815,46753,49537,96296,27276,27951,55227,44447,46580,91028,30344,31694,62038,61672,65911,127584,1008,923,1932,7344,7059,14405,2922,2829,5755,3127,3340,6467,4374,5404,9775,41911,44886,86790,5266,4719,9988,5855,5064,10918,2507,2492,5005,4370,6108,10477,985,1553,2535,73716,76894,150613,4888,5328,10207
LGA25340,74875,80125,154999,4146,3861,8007,9639,9192,18830,4680,4271,8945,3969,3442,7409,6465,7034,13493,8452,9463,17916,10160,11090,21250,9847,11154,21007,9726,11175,20899,5753,6421,12178,2036,3022,5059,69571,75022,144597,5298,5101,10400,616,588,1202,39,35,72,6,21,30,661,642,1305,56671,60275,116942,13209,14419,27624,66706,71089,137793,3937,4464,8404,66078,70649,136722,918,920,1841,8948,8539,17488,3444,3322,6764,1092,1147,2238,1141,2368,3509,27056,32297,59354,9527,9740,19273,11886,11232,23115,4610,4515,9124,2787,3393,6178,247,221,468,67125,72243,139369,5364,5676,11037
LGA25430,9389,9375,18761,413,420,837,1029,951,1979,502,433,933,407,314,723,863,687,1544,1081,1079,2161,1357,1460,2815,1612,1627,3239,1277,1365,2638,631,693,1325,226,338,563,8832,8770,17604,563,602,1159,121,81,208,4,3,3,0,0,3,126,88,209,7411,7437,14846,1147,1010,2156,7709,8232,15944,297,338,633,7687,8235,15923,77,84,164,913,859,1778,335,320,655,66,89,162,144,341,484,3084,3834,6922,1095,1111,2202,1323,1177,2497,592,521,1112,385,402,782,18,22,38,7831,8321,16153,1358,802,2166
LGA25490,8255,8245,16495,489,478,967,1212,1184,2392,500,477,978,370,352,717,768,772,1537,994,983,1974,1139,1236,2372,1270,1209,2483,948,878,1833,428,430,863,130,236,373,7735,7733,15468,521,508,1029,90,84,180,0,4,5,9,0,13,101,88,191,6950,6893,13843,572,623,1191,7463,7428,14891,156,196,360,7319,7316,14643,100,89,183,1079,1054,2130,337,357,688,65,93,152,103,246,345,2102,2930,5036,1235,1110,2345,1346,1024,2370,658,456,1115,470,370,842,18,18,38,7412,7364,14776,663,658,1318
LGA25620,6957,6771,13732,299,320,621,813,746,1563,350,344,697,263,254,513,549,574,1118,782,814,1603,1000,981,1982,1206,1171,2376,1129,961,2090,428,420,854,133,182,314,6392,6241,12633,568,531,1096,85,80,164,10,8,17,0,0,3,97,88,183,5519,5344,10866,767,753,1517,6164,5992,12155,215,223,441,6114,5948,12063,67,66,135,731,648,1383,241,250,495,46,69,114,78,190,272,1888,2430,4319,914,878,1794,1336,1034,2366,612,402,1016,393,307,700,25,17,42,6060,5864,11926,665,681,1350
LGA25710,30266,31007,61273,1653,1614,3266,4478,4318,8792,2430,2178,4612,2033,1916,3951,2822,2821,5639,3766,4257,8026,4822,5245,10069,4360,4522,8881,2713,2676,5391,927,1015,1946,254,449,705,28876,29755,58631,1386,1257,2639,99,126,223,3,8,13,0,0,0,102,130,236,24185,24771,48955,4716,4835,9543,26381,26786,53160,2645,2991,5638,27451,28070,55523,415,426,841,4242,4071,8308,2011,1899,3910,910,908,1820,636,1036,1678,13717,15550,29268,3629,3435,7066,3499,2882,6380,1317,1182,2496,680,742,1417,64,57,120,28421,29125,57547,1039,1203,2242
LGA25810,5652,5785,11439,281,239,522,605,583,1193,350,311,663,258,252,511,544,528,1073,554,617,1171,776,852,1635,917,915,1834,819,778,1595,394,455,848,143,258,400,5323,5422,10746,327,362,692,86,73,156,8,3,12,3,3,6,95,79,168,4810,4827,9637,393,454,841,5090,5171,10263,178,188,366,5115,5156,10270,55,41,92,540,550,1088,246,218,464,21,38,59,49,131,181,1431,1774,3205,829,805,1632,990,928,1913,534,484,1020,453,406,859,54,36,84,5105,5162,10269,550,586,1136
LGA25900,49307,51563,100863,2468,2429,4893,3529,3361,6894,1415,1479,2896,2968,3584,6555,12568,13679,26249,8992,9124,18115,6715,6773,13486,5097,5105,10205,3472,3474,6946,1505,1687,3197,565,868,1433,46711,48974,95682,2599,2589,5185,179,176,357,9,11,18,7,10,13,196,197,393,28471,29956,58422,15543,16332,31877,34474,35484,69959,9754,11008,20762,35746,37746,73494,519,507,1027,3144,3030,6174,1160,1193,2352,1270,1477,2746,2341,3389,5727,30394,33160,63550,2932,2800,5731,2793,2443,5237,922,825,1749,986,1152,2140,184,250,429,42425,45021,87449,6736,6155,12884
LGA25990,3831,3408,7238,178,164,342,394,398,797,158,173,327,134,122,258,287,271,567,433,352,786,553,492,1045,721,615,1331,639,519,1159,261,196,451,71,109,178,3585,3223,6811,250,186,428,63,60,124,3,8,11,0,0,3,63,70,135,3118,2751,5864,360,315,681,3087,3035,6125,74,80,153,3073,3014,6084,27,35,66,351,363,713,123,124,240,17,37,53,39,77,114,778,1044,1825,470,471,939,676,547,1224,358,241,602,256,206,463,12,0,13,3054,3069,6117,670,282,950
LGA26080,1325,1527,2853,31,45,78,143,117,256,60,79,138,37,28,72,61,72,126,94,114,208,151,184,330,241,258,497,294,328,620,167,217,387,61,91,149,1142,1344,2486,186,181,368,3,7,8,0,0,0,0,0,0,3,6,7,1048,1232,2275,150,148,297,1181,1356,2535,33,54,82,1165,1366,2529,8,13,24,127,98,228,47,65,117,23,17,39,28,34,61,604,742,1345,171,196,370,150,176,326,54,59,115,39,40,84,3,6,7,1095,1304,2406,116,142,258
LGA26170,14059,14644,28703,840,753,1589,1768,1768,3528,880,736,1614,573,575,1147,1210,1321,2527,1439,1560,2999,1966,1998,3956,2146,2387,4537,2001,2032,4037,934,1021,1954,309,501,808,12973,13654,26627,1084,989,2073,119,115,236,15,9,20,7,13,18,140,133,274,11337,11627,22965,1462,1685,3146,12534,12979,25510,449,522,974,12502,12913,25412,143,156,300,1572,1589,3158,621,563,1182,112,144,252,149,410,561,3487,4872,8364,2155,2124,4283,2597,2160,4761,1183,923,2111,824,727,1543,28,40,65,12429,12914,25350,1097,1251,2351
LGA26260,7759,8178,15944,435,413,848,992,905,1897,518,479,998,400,341,740,703,764,1469,810,842,1649,1024,1154,2182,1182,1239,2419,999,1018,2018,493,638,1131,201,383,582,7182,7608,14792,578,575,1150,109,126,236,3,3,5,0,3,4,108,131,244,6626,6890,13521,533,644,1181,7121,7479,14603,195,228,429,7061,7404,14464,105,99,202,907,835,1746,375,338,713,59,71,126,90,181,275,2020,2725,4745,1152,1215,2367,1402,1169,2576,643,552,1195,502,512,1012,30,17,40,6957,7302,14264,558,643,1197
LGA26350,49371,54462,103832,2242,2113,4356,4221,4284,8507,2244,2437,4680,4238,5319,9561,11934,12733,24674,7003,7158,14153,5905,6217,12125,4618,5375,9993,3782,4390,8179,2240,2891,5130,940,1536,2472,46704,51730,98437,2663,2732,5397,158,132,287,4,5,7,0,4,10,165,138,301,30206,32951,63153,15327,17406,32732,34713,37507,72214,10965,13101,24070,37669,41240,78912,578,526,1102,3873,3959,7830,1928,2118,4048,2407,3085,5490,2438,3201,5640,32549,36151,68704,2502,2875,5374,2147,2425,4576,880,931,1813,928,1280,2208,169,300,467,44335,48875,93211,4396,4958,9357
LGA26430,5074,5198,10274,236,219,452,538,518,1060,268,222,486,174,178,354,405,421,825,462,515,979,648,715,1356,907,940,1847,851,799,1653,448,444,886,149,225,376,4679,4847,9530,394,353,748,61,49,103,3,4,7,4,3,4,63,53,113,4144,4198,8343,434,490,924,4512,4594,9106,158,188,348,4507,4596,9103,41,58,99,493,466,960,178,164,343,28,47,77,54,142,194,1338,1779,3112,661,690,1356,982,831,1814,462,360,817,355,284,643,11,13,17,4468,4582,9052,456,483,940
LGA26490,14582,14818,29397,990,875,1860,2166,2024,4192,889,756,1647,649,556,1201,1359,1568,2925,1996,2116,4113,2051,2173,4220,2033,2062,4088,1600,1592,3191,651,733,1392,209,359,566,13361,13740,27097,1221,1078,2301,89,88,179,10,3,8,0,3,4,97,94,188,11983,12185,24170,1645,1710,3353,13175,13395,26567,559,621,1178,13067,13353,26417,210,214,425,2018,1876,3893,723,627,1350,229,269,497,287,537,830,5968,6921,12886,1899,1780,3671,1698,1424,3123,606,569,1173,400,361,767,17,29,44,13013,13339,26349,1101,1176,2277
LGA26610,10368,10217,20584,718,607,1326,1359,1248,2611,634,641,1275,633,559,1190,1286,1235,2520,1132,1170,2303,1369,1340,2704,1413,1353,2769,1021,1026,2044,591,686,1281,212,350,563,9696,9634,19325,673,589,1257,369,411,775,14,18,32,8,16,25,391,439,832,7701,7661,15364,1210,1186,2394,7822,7892,15707,1229,1147,2373,8388,8435,16826,118,108,226,1155,1073,2224,410,444,852,84,127,210,155,275,426,2364,2973,5329,1267,1263,2534,1702,1436,3135,783,656,1434,699,634,1333,141,110,254,8875,8772,17644,1495,1351,2850
LGA26670,3077,2907,5985,152,130,279,360,326,680,186,145,328,121,91,213,215,237,451,282,290,572,429,450,879,540,500,1040,494,414,906,224,206,433,68,120,197,2796,2686,5489,282,218,502,39,40,83,0,0,3,4,5,4,46,47,87,2556,2401,4952,224,258,485,2773,2622,5395,75,80,154,2757,2617,5374,26,22,43,315,288,605,147,107,250,24,21,47,30,84,112,721,905,1626,460,426,888,645,540,1179,247,189,439,223,151,374,3,3,7,2668,2563,5229,251,239,486
LGA26700,13651,14665,28310,786,753,1536,1823,1749,3572,839,796,1641,654,651,1300,1270,1379,2649,1564,1726,3291,1871,1993,3858,1954,2136,4094,1646,1764,3412,890,1072,1960,361,646,1008,12760,13784,26546,883,879,1766,183,176,356,4,14,20,0,0,5,190,190,377,11439,12272,23716,1097,1182,2282,12051,12865,24915,625,678,1309,12310,13251,25560,128,138,269,1664,1585,3247,584,572,1160,119,162,280,168,441,612,3701,4924,8620,1871,2008,3875,2542,2178,4719,1014,897,1911,787,824,1613,36,41,81,12370,13177,25552,1036,1237,2275
LGA26730,16157,17502,33655,1013,937,1950,2124,2032,4157,1133,1112,2249,1151,1062,2220,1986,2076,4061,1867,2051,3920,2090,2395,4484,2001,2253,4254,1607,1790,3394,836,1158,1992,342,630,969,15047,16473,31520,1105,1026,2135,283,258,542,3,5,8,0,0,0,287,262,555,13573,14696,28265,1326,1405,2733,14294,15525,29816,730,733,1459,14242,15541,29788,152,133,283,1924,1875,3796,769,811,1579,223,317,542,296,625,920,4974,6317,11287,2256,2419,4672,2446,2280,4733,1187,1048,2237,850,943,1795,55,38,90,14444,15655,30105,1408,1527,2936
LGA26810,21695,21287,42983,1255,1190,2443,2673,2517,5187,1298,1217,2517,1201,940,2137,2495,2359,4858,2548,2395,4937,2777,2956,5734,3209,3285,6490,2609,2486,5096,1233,1315,2546,394,636,1033,20089,19950,40041,1602,1335,2939,300,302,607,10,8,22,9,7,20,327,321,640,17475,17150,34627,2303,2252,4554,18503,18855,37354,765,853,1617,18470,18795,37266,248,225,473,2402,2260,4666,879,914,1793,169,205,370,249,649,897,5095,6755,11857,3002,3044,6041,3901,3353,7263,1798,1459,3254,1279,1062,2340,60,63,125,18484,19036,37521,2695,1711,4405
LGA26890,1966,1941,3903,112,101,209,226,235,465,115,104,211,85,68,149,170,187,357,184,174,356,284,306,594,325,274,602,265,254,519,150,162,313,54,80,132,1797,1781,3577,167,162,324,19,17,34,3,0,3,0,0,0,20,17,34,1724,1676,3400,112,125,235,1825,1784,3605,40,39,76,1823,1783,3609,22,18,38,218,215,429,81,75,153,10,17,34,15,41,60,445,616,1054,332,314,651,384,317,701,172,118,287,151,103,256,4,3,8,1778,1735,3513,92,139,229
LGA26980,78051,84032,162078,4485,4340,8822,9394,9032,18422,5206,5147,10350,6873,6238,13115,11351,11499,22853,10373,11255,21633,10118,11142,21261,8108,9225,17334,6146,7462,13608,4165,5559,9724,1830,3136,4959,75082,81033,156117,2968,2995,5967,171,157,322,7,20,27,0,3,7,182,179,358,45109,47651,92759,29635,32711,62351,46903,49339,96242,28137,31366,59511,59964,64743,124704,1132,1089,2219,8927,8582,17507,4567,4629,9190,4347,3984,8331,3466,4402,7865,43462,46862,90323,5961,6175,12138,5628,6236,11862,2692,2946,5632,2381,3516,5898,642,942,1583,73272,78561,151832,3785,4688,8477
LGA27070,97541,99952,197491,8277,7870,16149,13478,12553,26028,5935,5671,11604,6852,6680,13528,16452,17248,33696,14677,14741,29423,11831,12585,24418,9178,10266,19446,6513,7021,13540,3391,3908,7300,955,1401,2354,94724,97195,191923,2811,2758,5566,728,793,1522,23,29,47,26,35,63,780,853,1639,56867,58440,115305,34805,35336,70138,49942,51054,100992,42892,44082,86978,79451,81688,161136,1504,1405,2909,12254,11495,23747,4603,4618,9225,2820,2840,5663,2839,4205,7041,40146,43870,84023,8727,8151,16875,10580,9290,19867,4642,4357,9001,5384,6697,12084,1190,1683,2874,92606,94651,187260,4437,4892,9327
LGA27170,19296,20050,39351,1423,1408,2828,2688,2599,5281,1433,1248,2683,1480,1219,2697,2593,2819,5417,2357,2495,4854,2455,2590,5048,2232,2465,4689,1603,1781,3387,763,957,1722,271,472,745,17960,18907,36870,1338,1141,2484,411,493,910,26,19,40,12,14,26,454,527,975,16035,16645,32683,1934,2019,3957,16964,17614,34578,1125,1237,2367,17338,18016,35354,313,304,614,2476,2404,4878,979,911,1893,347,367,719,483,922,1413,5668,6793,12455,2350,2299,4650,3730,3449,7181,1217,1213,2427,823,835,1658,92,77,172,17138,18305,35443,1908,1493,3399
LGA27260,108806,108319,217122,11080,10299,21381,16775,15651,32428,6523,6212,12735,6877,6498,13376,19521,21369,40889,18901,17718,36623,12769,12651,25419,8730,9198,17924,5122,5388,10507,1990,2395,4383,515,935,1451,105576,105374,210946,3232,2944,6173,876,787,1662,18,22,47,13,17,33,904,824,1735,57611,56937,114544,45041,45207,90246,57803,57528,115337,44139,45032,89171,80674,79466,160139,1735,1687,3424,15123,14133,29256,4995,5038,10034,2505,2531,5028,3325,5244,8576,45884,49121,95006,8868,8327,17202,11299,10104,21399,4455,4262,8716,3246,3971,7218,758,1108,1867,101824,102395,204224,6172,5180,11349
LGA27350,42039,44619,86657,2036,1975,4006,2802,2869,5669,1311,1403,2717,3119,3924,7045,12802,13722,26525,7144,6886,14030,5036,4804,9837,3676,4049,7727,2509,2793,5298,1167,1553,2718,436,639,1075,39755,42368,82124,2278,2250,4531,180,168,356,14,8,20,4,4,10,195,183,382,26099,26959,53060,11782,13355,25136,29411,30160,59569,8785,10533,19320,32468,34469,66945,370,390,759,2452,2542,4999,1031,1149,2181,1442,1895,3337,2723,3769,6493,27309,29311,56621,2075,1845,3922,1916,1617,3534,764,802,1565,958,1519,2475,315,643,955,37058,39719,76777,4947,5017,9965
LGA27450,73819,75717,149537,4700,4445,9143,9943,9376,19315,4990,4775,9760,4615,4302,8912,8782,9100,17884,9608,10153,19756,10555,11172,21729,9567,10132,19702,7105,7339,14447,2974,3378,6352,983,1555,2533,70091,72267,142366,3727,3454,7179,594,683,1279,22,20,47,20,18,38,635,718,1355,57731,58818,116547,11865,12557,24419,65158,66396,131551,5041,5664,10708,65787,67225,133014,1059,997,2049,9231,8698,17928,3844,3830,7673,1385,1495,2873,1437,2685,4121,25487,31575,57063,10005,9491,19497,12032,9757,21792,4881,3977,8858,2625,2672,5300,258,232,487,68652,70482,139138,3442,3662,7098
LGA27630,3366,3305,6674,156,136,287,411,357,767,203,167,366,152,129,283,291,280,569,266,298,557,457,473,935,566,519,1085,468,460,929,284,283,566,121,213,332,3143,3070,6214,227,238,459,32,32,63,5,4,12,3,0,5,44,37,81,2866,2787,5654,187,209,399,3030,2916,5944,77,89,163,3059,2964,6027,31,22,51,367,318,684,139,131,266,17,31,48,37,75,108,710,885,1596,543,543,1086,610,530,1142,307,234,539,298,247,548,9,24,33,3003,2875,5877,254,331,584
LGA29399,473,409,876,15,20,40,48,52,98,24,15,37,61,43,103,97,114,210,74,62,135,56,33,88,55,26,84,38,26,61,13,5,19,0,0,0,449,390,833,24,17,46,3,4,9,0,0,0,0,0,0,3,7,11,282,211,489,71,85,156,305,231,540,47,60,108,306,240,547,5,6,6,31,40,72,3,3,8,3,8,9,9,10,25,196,201,392,47,12,62,35,17,58,6,3,8,13,0,13,0,3,3,177,185,361,4280,3723,8008
LGA29499,4331,3238,7565,215,163,379,173,197,367,180,178,357,447,453,898,1052,795,1848,813,479,1295,628,347,975,460,352,816,283,204,482,72,49,121,9,28,38,0,0,0,4331,3238,7565,146,102,247,13,7,16,3,6,11,160,117,279,2581,1804,4389,1057,952,2011,2372,1835,4201,698,692,1393,2454,1897,4355,22,15,37,113,145,259,68,85,158,102,136,242,131,161,299,1345,1347,2698,379,247,627,475,301,776,257,143,404,155,82,238,43,42,85,0,0,0,0,0,0
LGA29799,28,4,29,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,3,0,3,11,0,11,5,0,5,0,0,0,0,0,0,0,0,0,20,4,26,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,17,0,17,6,4,6,18,0,18,7,4,10,25,4,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,13,4,0,4,9,0,10,0,0,0,0,0,0,0,0,0,0,0,0,310,38,349
